  Time (min)    V neg      V pos       Cur (A/m2)    Temp (C)   Heat Gen (W/m3)
   0.049877    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.055165    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.060981    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.067379    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.074417    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.082159    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.090675    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.100042    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.110346    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.121681    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.134149    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.147864    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.162951    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.179546    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.197800    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.217880    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.239968    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.264265    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.290992    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.320391    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.352730    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.388303    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.427433    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.470476    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.517824    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.569906    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.627197    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.690217    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.759539    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.835792    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   0.919672    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   1.011939    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   1.113433    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   1.225076    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   1.347884    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   1.482972    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   1.631569    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   1.795026    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   1.974829    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   2.172611    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   2.390173    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   2.629490    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   2.892739    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   3.182313    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   3.500844    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   3.851228    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   4.236651    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   4.660616    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.000000    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.000000    0.178978    4.241652      0.0000     24.850000  -1.4955590E-53
   5.000000    0.178978    4.241652      0.0000     24.850000  -8.3462602E-54
   5.000333    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.000700    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.001103    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.001547    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.002035    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.002572    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.003162    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.003812    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.004526    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.005312    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.006177    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.007128    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.008174    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.009325    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.010591    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.011983    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.013515    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.015200    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.017053    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.019092    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.021334    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.023801    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.026514    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.029499    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.032782    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.036394    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.040367    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.044737    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.049544    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.054831    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.060648    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.067046    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.074084    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.081826    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.090341    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.099709    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.110013    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.121348    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.133816    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.147531    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.162617    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.179212    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.197467    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.217547    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.239635    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.263932    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.290658    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.320057    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.352397    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.387970    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.427100    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.470143    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.517491    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.569573    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.626864    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.689884    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.759205    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.835459    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   5.919338    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   6.011605    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   6.113099    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   6.224743    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   6.347550    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   6.482639    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   6.631236    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   6.794693    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   6.974495    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   7.172278    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   7.389839    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   7.629157    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   7.892406    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   8.181979    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   8.500511    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   8.850895    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   9.236318    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
   9.660283    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
  10.000000    0.178978    4.241652      0.0000     24.850000   0.0000000E+00
  10.000000    0.181045    4.231536     11.0000     24.850000   5.9558624E+02
  10.000000    0.181045    4.231536     11.0000     24.850000   5.9558624E+02
  10.000333    0.181051    4.231479     11.0000     24.850000   5.9864144E+02
  10.000700    0.181056    4.231442     11.0000     24.850000   6.0062626E+02
  10.001103    0.181060    4.231412     11.0000     24.850000   6.0226647E+02
  10.001547    0.181064    4.231384     11.0000     24.850000   6.0375386E+02
  10.002035    0.181069    4.231359     11.0000     24.850000   6.0516748E+02
  10.002572    0.181073    4.231333     11.0000     24.850000   6.0654789E+02
  10.003162    0.181077    4.231308     11.0000     24.850000   6.0791996E+02
  10.003812    0.181082    4.231283     11.0000     24.850000   6.0930028E+02
  10.004526    0.181087    4.231257     11.0000     24.850000   6.1070132E+02
  10.005312    0.181092    4.231231     11.0000     24.850000   6.1213274E+02
  10.006177    0.181097    4.231204     11.0000     24.850000   6.1360281E+02
  10.007128    0.181103    4.231176     11.0000     24.850000   6.1511857E+02
  10.008174    0.181109    4.231147     11.0000     24.850000   6.1668655E+02
  10.009325    0.181115    4.231116     11.0000     24.850000   6.1831270E+02
  10.010591    0.181121    4.231085     11.0000     24.850000   6.2000282E+02
  10.011983    0.181128    4.231052     11.0000     24.850000   6.2176240E+02
  10.013515    0.181135    4.231017     11.0000     24.850000   6.2359696E+02
  10.015200    0.181142    4.230981     11.0000     24.850000   6.2551188E+02
  10.017053    0.181150    4.230943     11.0000     24.850000   6.2751267E+02
  10.019092    0.181158    4.230903     11.0000     24.850000   6.2960475E+02
  10.021334    0.181166    4.230861     11.0000     24.850000   6.3179376E+02
  10.023801    0.181175    4.230816     11.0000     24.850000   6.3408530E+02
  10.026514    0.181184    4.230769     11.0000     24.850000   6.3648520E+02
  10.029499    0.181194    4.230720     11.0000     24.850000   6.3899930E+02
  10.032782    0.181204    4.230667     11.0000     24.850000   6.4163367E+02
  10.036394    0.181215    4.230612     11.0000     24.850000   6.4439441E+02
  10.040367    0.181226    4.230554     11.0000     24.850000   6.4728782E+02
  10.044737    0.181238    4.230492     11.0000     24.850000   6.5032026E+02
  10.049544    0.181250    4.230427     11.0000     24.850000   6.5349827E+02
  10.054831    0.181263    4.230358     11.0000     24.850000   6.5682838E+02
  10.060648    0.181276    4.230285     11.0000     24.850000   6.6031733E+02
  10.067046    0.181291    4.230207     11.0000     24.850000   6.6397176E+02
  10.074084    0.181306    4.230126     11.0000     24.850000   6.6779845E+02
  10.081826    0.181321    4.230039     11.0000     24.850000   6.7180402E+02
  10.090341    0.181338    4.229948     11.0000     24.850000   6.7599506E+02
  10.099709    0.181356    4.229851     11.0000     24.850000   6.8037785E+02
  10.110013    0.181374    4.229749     11.0000     24.850000   6.8495839E+02
  10.121348    0.181394    4.229641     11.0000     24.850000   6.8974210E+02
  10.133816    0.181415    4.229528     11.0000     24.850000   6.9473370E+02
  10.147531    0.181437    4.229408     11.0000     24.850000   6.9993678E+02
  10.162617    0.181461    4.229281     11.0000     24.850000   7.0535363E+02
  10.179212    0.181486    4.229148     11.0000     24.850000   7.1098463E+02
  10.197467    0.181513    4.229007     11.0000     24.850000   7.1682794E+02
  10.217547    0.181542    4.228859     11.0000     24.850000   7.2287887E+02
  10.239635    0.181572    4.228704     11.0000     24.850000   7.2912946E+02
  10.263932    0.181604    4.228541     11.0000     24.850000   7.3556787E+02
  10.290658    0.181638    4.228371     11.0000     24.850000   7.4217813E+02
  10.320057    0.181675    4.228192     11.0000     24.850000   7.4893962E+02
  10.352397    0.181713    4.228005     11.0000     24.850000   7.5582716E+02
  10.387970    0.181753    4.227810     11.0000     24.850000   7.6281081E+02
  10.427100    0.181795    4.227606     11.0000     24.850000   7.6985634E+02
  10.470143    0.181840    4.227394     11.0000     24.850000   7.7692560E+02
  10.517491    0.181886    4.227174     11.0000     24.850000   7.8397743E+02
  10.569573    0.181935    4.226944     11.0000     24.850000   7.9096862E+02
  10.626864    0.181985    4.226706     11.0000     24.850000   7.9785538E+02
  10.689884    0.182037    4.226459     11.0000     24.850000   8.0459486E+02
  10.759205    0.182092    4.226202     11.0000     24.850000   8.1114708E+02
  10.835459    0.182149    4.225935     11.0000     24.850000   8.1747678E+02
  10.919338    0.182208    4.225658     11.0000     24.850000   8.2355560E+02
  11.011605    0.182269    4.225368     11.0000     24.850000   8.2936387E+02
  11.113099    0.182334    4.225066     11.0000     24.850000   8.3489255E+02
  11.224743    0.182402    4.224749     11.0000     24.850000   8.4014458E+02
  11.347550    0.182474    4.224416     11.0000     24.850000   8.4513632E+02
  11.482639    0.182551    4.224064     11.0000     24.850000   8.4989856E+02
  11.631236    0.182632    4.223692     11.0000     24.850000   8.5447790E+02
  11.794693    0.182720    4.223295     11.0000     24.850000   8.5893849E+02
  11.974495    0.182814    4.222872     11.0000     24.850000   8.6336548E+02
  12.172278    0.182916    4.222416     11.0000     24.850000   8.6787072E+02
  12.389839    0.183027    4.221923     11.0000     24.850000   8.7260317E+02
  12.629157    0.183147    4.221387     11.0000     24.850000   8.7776615E+02
  12.892406    0.183278    4.220798     11.0000     24.850000   8.8364631E+02
  13.181979    0.183421    4.220143     11.0000     24.850000   8.9066004E+02
  13.500511    0.183577    4.219403     11.0000     24.850000   8.9942736E+02
  13.850895    0.183749    4.218551     11.0000     24.850000   9.1088517E+02
  14.236318    0.183937    4.217543     11.0000     24.850000   9.2645669E+02
  14.660283    0.184143    4.216307     11.0000     24.850000   9.4829713E+02
  15.000000    0.184310    4.215186     11.0000     24.850000   9.7032788E+02
  15.000000    0.182249    4.225513      0.0000     24.850000   1.8168714E+01
  15.000000    0.182249    4.225513      0.0000     24.850000   1.8168714E+01
  15.000333    0.182212    4.225593      0.0000     24.850000   1.7514191E+01
  15.000700    0.182188    4.225643      0.0000     24.850000   1.7110135E+01
  15.001103    0.182169    4.225684      0.0000     24.850000   1.6789413E+01
  15.001547    0.182152    4.225720      0.0000     24.850000   1.6508688E+01
  15.002035    0.182136    4.225754      0.0000     24.850000   1.6250360E+01
  15.002572    0.182121    4.225786      0.0000     24.850000   1.6005783E+01
  15.003162    0.182106    4.225818      0.0000     24.850000   1.5769850E+01
  15.003812    0.182091    4.225849      0.0000     24.850000   1.5539461E+01
  15.004526    0.182076    4.225881      0.0000     24.850000   1.5312447E+01
  15.005312    0.182062    4.225913      0.0000     24.850000   1.5087387E+01
  15.006177    0.182046    4.225945      0.0000     24.850000   1.4863197E+01
  15.007128    0.182031    4.225978      0.0000     24.850000   1.4639171E+01
  15.008174    0.182015    4.226012      0.0000     24.850000   1.4414755E+01
  15.009325    0.181999    4.226047      0.0000     24.850000   1.4189632E+01
  15.010591    0.181983    4.226083      0.0000     24.850000   1.3963564E+01
  15.011983    0.181966    4.226120      0.0000     24.850000   1.3736491E+01
  15.013515    0.181949    4.226159      0.0000     24.850000   1.3508398E+01
  15.015200    0.181931    4.226199      0.0000     24.850000   1.3279417E+01
  15.017053    0.181912    4.226240      0.0000     24.850000   1.3049713E+01
  15.019092    0.181893    4.226283      0.0000     24.850000   1.2819582E+01
  15.021334    0.181874    4.226327      0.0000     24.850000   1.2589346E+01
  15.023801    0.181854    4.226373      0.0000     24.850000   1.2359451E+01
  15.026514    0.181833    4.226422      0.0000     24.850000   1.2130364E+01
  15.029499    0.181811    4.226472      0.0000     24.850000   1.1902671E+01
  15.032782    0.181789    4.226524      0.0000     24.850000   1.1676982E+01
  15.036394    0.181766    4.226578      0.0000     24.850000   1.1454016E+01
  15.040367    0.181742    4.226635      0.0000     24.850000   1.1234512E+01
  15.044737    0.181717    4.226694      0.0000     24.850000   1.1019312E+01
  15.049544    0.181691    4.226755      0.0000     24.850000   1.0809264E+01
  15.054831    0.181664    4.226819      0.0000     24.850000   1.0605306E+01
  15.060648    0.181637    4.226886      0.0000     24.850000   1.0408364E+01
  15.067046    0.181608    4.226955      0.0000     24.850000   1.0219424E+01
  15.074084    0.181578    4.227027      0.0000     24.850000   1.0039429E+01
  15.081826    0.181547    4.227102      0.0000     24.850000   9.8693422E+00
  15.090341    0.181514    4.227180      0.0000     24.850000   9.7100316E+00
  15.099709    0.181481    4.227261      0.0000     24.850000   9.5623267E+00
  15.110013    0.181446    4.227345      0.0000     24.850000   9.4268994E+00
  15.121348    0.181409    4.227432      0.0000     24.850000   9.3043087E+00
  15.133816    0.181371    4.227522      0.0000     24.850000   9.1948826E+00
  15.147531    0.181331    4.227615      0.0000     24.850000   9.0987621E+00
  15.162617    0.181289    4.227711      0.0000     24.850000   9.0157899E+00
  15.179212    0.181246    4.227810      0.0000     24.850000   8.9455613E+00
  15.197467    0.181201    4.227912      0.0000     24.850000   8.8873260E+00
  15.217547    0.181153    4.228017      0.0000     24.850000   8.8400477E+00
  15.239635    0.181104    4.228124      0.0000     24.850000   8.8023181E+00
  15.263932    0.181053    4.228233      0.0000     24.850000   8.7724222E+00
  15.290658    0.180999    4.228345      0.0000     24.850000   8.7482596E+00
  15.320057    0.180945    4.228458      0.0000     24.850000   8.7274157E+00
  15.352397    0.180888    4.228573      0.0000     24.850000   8.7070957E+00
  15.387970    0.180830    4.228688      0.0000     24.850000   8.6842143E+00
  15.427100    0.180771    4.228804      0.0000     24.850000   8.6553639E+00
  15.470143    0.180711    4.228919      0.0000     24.850000   8.6169475E+00
  15.517491    0.180651    4.229033      0.0000     24.850000   8.5652064E+00
  15.569573    0.180590    4.229147      0.0000     24.850000   8.4964145E+00
  15.626864    0.180530    4.229257      0.0000     24.850000   8.4069718E+00
  15.689884    0.180471    4.229365      0.0000     24.850000   8.2936514E+00
  15.759205    0.180413    4.229469      0.0000     24.850000   8.1537287E+00
  15.835459    0.180356    4.229569      0.0000     24.850000   7.9852333E+00
  15.919338    0.180302    4.229664      0.0000     24.850000   7.7870522E+00
  16.011605    0.180249    4.229753      0.0000     24.850000   7.5591125E+00
  16.113099    0.180200    4.229836      0.0000     24.850000   7.3023845E+00
  16.224743    0.180153    4.229913      0.0000     24.850000   7.0189269E+00
  16.347550    0.180109    4.229983      0.0000     24.850000   6.7117399E+00
  16.482639    0.180068    4.230046      0.0000     24.850000   6.3846523E+00
  16.631236    0.180029    4.230102      0.0000     24.850000   6.0420393E+00
  16.794693    0.179994    4.230152      0.0000     24.850000   5.6886056E+00
  16.974495    0.179960    4.230195      0.0000     24.850000   5.3290587E+00
  17.172278    0.179930    4.230232      0.0000     24.850000   4.9679031E+00
  17.389839    0.179901    4.230264      0.0000     24.850000   4.6091948E+00
  17.629157    0.179874    4.230291      0.0000     24.850000   4.2564569E+00
  17.892406    0.179849    4.230313      0.0000     24.850000   3.9125903E+00
  18.181979    0.179825    4.230332      0.0000     24.850000   3.5799366E+00
  18.500511    0.179803    4.230347      0.0000     24.850000   3.2603135E+00
  18.850895    0.179782    4.230360      0.0000     24.850000   2.9551458E+00
  19.236318    0.179762    4.230370      0.0000     24.850000   2.6655220E+00
  19.660283    0.179743    4.230379      0.0000     24.850000   2.3922925E+00
  20.000000    0.179730    4.230385      0.0000     24.850000   2.2001390E+00
  20.000000    0.179730    4.230385      0.0000     24.850000   2.2001390E+00
  20.000000    0.179730    4.230385      0.0000     24.850000   2.2001390E+00
  20.000333    0.179730    4.230385      0.0000     24.850000   2.1999570E+00
  20.000700    0.179730    4.230385      0.0000     24.850000   2.1997529E+00
  20.001103    0.179730    4.230385      0.0000     24.850000   2.1995323E+00
  20.001547    0.179730    4.230385      0.0000     24.850000   2.1992864E+00
  20.002035    0.179730    4.230385      0.0000     24.850000   2.1990192E+00
  20.002572    0.179730    4.230385      0.0000     24.850000   2.1987225E+00
  20.003162    0.179730    4.230385      0.0000     24.850000   2.1983992E+00
  20.003812    0.179730    4.230385      0.0000     24.850000   2.1980411E+00
  20.004526    0.179730    4.230385      0.0000     24.850000   2.1976499E+00
  20.005312    0.179730    4.230385      0.0000     24.850000   2.1972175E+00
  20.006177    0.179730    4.230385      0.0000     24.850000   2.1967446E+00
  20.007128    0.179730    4.230385      0.0000     24.850000   2.1962224E+00
  20.008174    0.179730    4.230385      0.0000     24.850000   2.1956507E+00
  20.009325    0.179730    4.230385      0.0000     24.850000   2.1950201E+00
  20.010591    0.179730    4.230385      0.0000     24.850000   2.1943291E+00
  20.011983    0.179730    4.230385      0.0000     24.850000   2.1935677E+00
  20.013515    0.179730    4.230385      0.0000     24.850000   2.1927329E+00
  20.015200    0.179730    4.230385      0.0000     24.850000   2.1918136E+00
  20.017053    0.179730    4.230385      0.0000     24.850000   2.1908054E+00
  20.019092    0.179730    4.230385      0.0000     24.850000   2.1896955E+00
  20.021334    0.179729    4.230385      0.0000     24.850000   2.1884782E+00
  20.023801    0.179729    4.230385      0.0000     24.850000   2.1871388E+00
  20.026514    0.179729    4.230385      0.0000     24.850000   2.1856695E+00
  20.029499    0.179729    4.230385      0.0000     24.850000   2.1840536E+00
  20.032782    0.179729    4.230385      0.0000     24.850000   2.1822808E+00
  20.036394    0.179729    4.230385      0.0000     24.850000   2.1803320E+00
  20.040367    0.179729    4.230385      0.0000     24.850000   2.1781941E+00
  20.044737    0.179729    4.230386      0.0000     24.850000   2.1758451E+00
  20.049544    0.179728    4.230386      0.0000     24.850000   2.1732683E+00
  20.054831    0.179728    4.230386      0.0000     24.850000   2.1704383E+00
  20.060648    0.179728    4.230386      0.0000     24.850000   2.1673347E+00
  20.067046    0.179728    4.230386      0.0000     24.850000   2.1639276E+00
  20.074084    0.179728    4.230386      0.0000     24.850000   2.1601922E+00
  20.081826    0.179727    4.230386      0.0000     24.850000   2.1560939E+00
  20.090341    0.179727    4.230386      0.0000     24.850000   2.1516024E+00
  20.099709    0.179727    4.230386      0.0000     24.850000   2.1466775E+00
  20.110013    0.179726    4.230387      0.0000     24.850000   2.1412827E+00
  20.121348    0.179726    4.230387      0.0000     24.850000   2.1353715E+00
  20.133816    0.179725    4.230387      0.0000     24.850000   2.1289006E+00
  20.147531    0.179725    4.230387      0.0000     24.850000   2.1218159E+00
  20.162617    0.179724    4.230387      0.0000     24.850000   2.1140664E+00
  20.179212    0.179724    4.230388      0.0000     24.850000   2.1055902E+00
  20.197467    0.179723    4.230388      0.0000     24.850000   2.0963274E+00
  20.217547    0.179723    4.230388      0.0000     24.850000   2.0862073E+00
  20.239635    0.179722    4.230389      0.0000     24.850000   2.0751612E+00
  20.263932    0.179721    4.230389      0.0000     24.850000   2.0631090E+00
  20.290658    0.179720    4.230389      0.0000     24.850000   2.0499724E+00
  20.320057    0.179719    4.230390      0.0000     24.850000   2.0356623E+00
  20.352397    0.179718    4.230390      0.0000     24.850000   2.0200914E+00
  20.387970    0.179717    4.230391      0.0000     24.850000   2.0031617E+00
  20.427100    0.179716    4.230391      0.0000     24.850000   1.9847779E+00
  20.470143    0.179714    4.230392      0.0000     24.850000   1.9648352E+00
  20.517491    0.179713    4.230392      0.0000     24.850000   1.9432323E+00
  20.569573    0.179711    4.230393      0.0000     24.850000   1.9198605E+00
  20.626864    0.179709    4.230394      0.0000     24.850000   1.8946165E+00
  20.689884    0.179707    4.230394      0.0000     24.850000   1.8673922E+00
  20.759205    0.179705    4.230395      0.0000     24.850000   1.8380880E+00
  20.835459    0.179703    4.230396      0.0000     24.850000   1.8066033E+00
  20.919338    0.179701    4.230397      0.0000     24.850000   1.7728502E+00
  21.011605    0.179698    4.230398      0.0000     24.850000   1.7367447E+00
  21.113099    0.179696    4.230399      0.0000     24.850000   1.6982210E+00
  21.224743    0.179693    4.230400      0.0000     24.850000   1.6572231E+00
  21.347550    0.179690    4.230401      0.0000     24.850000   1.6137198E+00
  21.482639    0.179686    4.230402      0.0000     24.850000   1.5676967E+00
  21.631236    0.179683    4.230404      0.0000     24.850000   1.5191704E+00
  21.794693    0.179679    4.230405      0.0000     24.850000   1.4681818E+00
  21.974495    0.179675    4.230407      0.0000     24.850000   1.4148090E+00
  22.172278    0.179671    4.230408      0.0000     24.850000   1.3591603E+00
  22.389839    0.179667    4.230410      0.0000     24.850000   1.3013853E+00
  22.629157    0.179662    4.230411      0.0000     24.850000   1.2416675E+00
  22.892406    0.179657    4.230413      0.0000     24.850000   1.1802325E+00
  23.181979    0.179652    4.230415      0.0000     24.850000   1.1173390E+00
  23.500511    0.179647    4.230416      0.0000     24.850000   1.0532843E+00
  23.850895    0.179642    4.230418      0.0000     24.850000   9.8839242E-01
  24.236318    0.179636    4.230420      0.0000     24.850000   9.2301721E-01
  24.660283    0.179630    4.230422      0.0000     24.850000   8.5752865E-01
  25.000000    0.179626    4.230423      0.0000     24.850000   8.0914421E-01
  25.000000    0.179626    4.230423      0.0000     24.850000   8.0914421E-01
  25.000000    0.179626    4.230423      0.0000     24.850000   8.0914421E-01
